Kategori: Tüm kategoriler

Gün,IST:YKBNK: (Türkiye)
2017-01-01,94
2017-01-02,0
2017-01-03,35
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-07,100
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,34
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,55
2017-01-28,0
2017-01-29,0
2017-01-30,31
2017-01-31,0
