Kategori: Tüm kategoriler

Gün,IST:THYAO: (Türkiye)
2017-02-01,58
2017-02-02,60
2017-02-03,58
2017-02-04,12
2017-02-05,8
2017-02-06,100
2017-02-07,77
2017-02-08,47
2017-02-09,47
2017-02-10,56
2017-02-11,5
2017-02-12,14
2017-02-13,59
2017-02-14,81
2017-02-15,72
2017-02-16,63
2017-02-17,45
2017-02-18,0
2017-02-19,14
2017-02-20,55
2017-02-21,49
2017-02-22,50
2017-02-23,47
2017-02-24,36
2017-02-25,4
2017-02-26,10
2017-02-27,26
2017-02-28,28
